time_ms,upstream_rel_Pa,downstream_rel_Pa,deltaP_zeroed_Pa,read_gap_us
1224,1.79,-0.96,2.75,55
1237,2.45,-1.91,4.36,47
1250,0.64,-1.79,2.43,49
1263,-1.31,-1.74,0.43,49
1277,0.42,-1.65,2.07,49
1290,0.84,-0.91,1.75,50
1303,1.57,-1.70,3.27,48
1317,1.81,-1.94,3.75,54
1330,2.30,-0.33,2.62,49
1343,0.34,-0.30,0.65,46
1356,0.55,0.48,0.07,48
1370,2.08,0.84,1.23,46
1383,2.91,0.02,2.90,46
1396,3.40,0.43,2.97,48
1410,3.45,0.28,3.16,51
1423,3.23,0.28,2.95,54
1436,2.55,1.16,1.38,49
1449,2.23,0.45,1.77,49
1463,2.03,1.02,1.02,50
1476,1.27,1.36,-0.09,49
1489,2.01,-0.37,2.38,51
1503,2.20,-1.50,3.70,50
1516,2.64,-1.37,4.02,58
1529,1.59,-0.84,2.43,48
1543,1.12,0.60,0.52,51
1556,2.37,0.11,2.27,49
1569,2.86,0.89,1.97,50
1582,1.64,0.41,1.23,46
1596,2.20,0.80,1.41,51
1609,-0.07,-1.18,1.11,49
1622,0.77,-0.74,1.51,54
1636,1.74,-0.33,2.07,53
1649,1.27,-0.62,1.89,50
1662,0.91,-0.48,1.38,48
1675,0.55,0.23,0.31,49
1689,1.98,-1.74,3.73,48
1702,2.33,-1.59,3.92,50
1715,1.79,-0.40,2.19,53
1729,0.10,0.58,-0.48,50
1742,0.01,-0.11,0.12,48
1755,0.98,-0.11,1.09,51
1769,0.16,0.58,-0.42,47
1782,-0.68,0.84,-1.52,51
1795,-0.44,-0.18,-0.26,52
1808,0.52,1.30,-0.79,49
1822,0.98,0.60,0.38,52
1835,-0.48,-0.91,0.43,52
1848,-0.07,-1.04,0.97,47
1862,0.96,0.60,0.36,48
1875,0.45,0.50,-0.05,49
1888,-0.58,1.41,-1.98,45
1902,-0.16,1.04,-1.20,48
1915,-1.07,0.36,-1.43,55
1928,-1.58,0.55,-2.13,47
1941,-1.70,1.09,-2.79,49
1955,-1.36,-1.48,0.12,48
1968,1.55,-1.59,3.14,46
1981,0.96,-0.03,0.99,49
1995,0.10,-0.03,0.13,50
2008,0.96,-0.26,1.22,50
2021,0.40,-0.26,0.66,57
2034,0.32,-0.96,1.28,53
2048,0.55,-1.70,2.24,50
2061,-0.62,-1.45,0.83,51
2074,-1.19,-0.72,-0.47,49
2088,-1.07,-0.48,-0.59,51
2101,-1.36,-0.35,-1.01,50
2114,0.27,1.12,-0.84,54
2128,0.55,0.67,-0.13,48
2141,-0.27,0.58,-0.84,46
2154,-0.44,1.04,-1.48,50
2168,0.86,0.52,0.34,47
2181,0.23,0.89,-0.66,48
2194,-1.09,0.82,-1.91,48
2207,-1.53,0.58,-2.11,47
2221,-1.14,1.14,-2.28,56
2234,-0.23,-0.37,0.14,51
2247,0.18,0.43,-0.25,52
2261,-1.19,-0.89,-0.30,47
2274,-1.80,-1.04,-0.76,49
2287,-3.09,-3.43,0.34,51
2301,-2.24,-0.55,-1.70,49
2314,-0.66,-1.20,0.55,54
2327,-0.77,0.84,-1.62,51
2340,-0.31,2.51,-2.82,49
2354,-0.92,1.87,-2.79,48
2367,0.32,1.70,-1.37,49
2380,0.23,-1.98,2.21,50
2394,0.77,-1.09,1.85,48
2407,0.23,0.65,-0.42,47
2420,-0.14,0.41,-0.55,54
2433,-0.46,0.70,-1.16,48
2447,-0.88,0.23,-1.11,47
2460,-0.58,-2.01,1.43,47
2473,0.69,-0.79,1.48,45
2487,0.98,-0.45,1.43,47
2500,1.79,-0.81,2.60,50
2513,1.37,0.09,1.29,53
2527,-0.05,-0.72,0.67,51
2540,-0.19,-1.01,0.82,51
2553,-1.14,-0.28,-0.86,50
2566,-1.51,1.06,-2.57,51
2580,-0.31,1.58,-1.89,51
2593,0.18,0.28,-0.10,47
2606,2.30,0.67,1.62,48
2620,1.01,-0.50,1.51,54
2633,0.42,-0.35,0.77,48
2646,-0.16,-0.72,0.55,49
2660,0.18,-0.79,0.97,47
2673,-0.92,-1.06,0.14,49
2686,-1.44,-0.84,-0.60,46
2699,-1.95,-0.05,-1.89,47
2713,-1.75,0.67,-2.42,53
2726,-0.70,1.48,-2.18,47
2739,0.08,0.21,-0.13,48
2753,-0.44,0.21,-0.65,49
2766,0.52,1.16,-0.65,50
2779,-0.83,-0.45,-0.38,49
2793,-2.07,-0.72,-1.35,51
2806,-0.88,-0.59,-0.28,47
2819,0.42,0.26,0.16,52
2833,0.77,-0.40,1.16,52
2846,0.64,0.75,-0.11,51
2859,1.45,1.43,0.02,51
2872,-0.60,-1.67,1.07,51
2886,-1.16,-1.06,-0.10,50
2899,-2.00,1.02,-3.02,49
2912,-0.88,2.21,-3.09,55
2926,0.18,1.23,-1.05,49
2939,0.79,0.95,-0.16,46
2952,1.20,0.36,0.84,48
2965,0.49,0.19,0.30,48
2979,1.30,2.14,-0.84,48
2992,-0.05,2.58,-2.62,46
3005,1.62,1.36,0.26,48
3019,3.50,1.60,1.90,53
3032,5.13,1.51,3.62,50
3045,5.77,2.19,3.58,48
3059,7.67,2.26,5.41,49
3072,8.84,2.06,6.78,48
3085,9.95,2.23,7.71,51
3098,10.21,4.16,6.05,48
3112,19.54,17.10,2.44,53
3125,11.88,5.87,6.00,52
3138,18.46,5.85,12.61,50
3152,14.29,0.80,13.49,51
3165,17.56,8.05,9.52,50
3178,16.78,7.31,9.47,50
3191,20.63,5.66,14.98,48
3205,18.52,5.53,12.98,46
3218,18.15,4.46,13.69,55
3231,17.98,4.82,13.16,52
3245,17.73,4.24,13.49,53
3258,16.53,4.12,12.41,49
3271,16.44,4.70,11.73,48
3284,18.15,4.75,13.40,48
3298,18.87,6.38,12.49,49
3311,19.22,4.41,14.81,49
3324,20.69,4.80,15.89,56
3338,21.12,4.87,16.25,55
3351,21.10,5.99,15.11,50
3364,20.41,6.55,13.86,51
3378,21.25,6.41,14.84,48
3391,21.20,5.77,15.42,50
3404,21.47,5.29,16.18,47
3417,20.61,6.55,14.05,54
3431,18.63,6.51,12.13,49
3444,18.39,5.16,13.23,53
3457,18.93,4.14,14.79,47
3471,20.47,5.63,14.84,47
3484,20.59,4.41,16.18,50
3497,19.02,4.46,14.56,48
3510,17.63,5.05,12.59,49
3524,18.78,4.12,14.66,51
3537,18.07,3.19,14.88,51
3550,17.46,2.97,14.49,48
3564,15.70,2.99,12.71,48
3577,16.70,2.99,13.71,51
3590,17.78,1.92,15.86,47
3603,17.46,2.53,14.93,49
3617,16.80,3.55,13.25,54
3630,16.24,4.31,11.93,50
3643,15.24,3.53,11.71,50
3657,15.90,2.62,13.27,49
3670,15.61,4.19,11.42,51
3683,14.66,4.82,9.84,49
3696,12.75,5.51,7.24,49
3710,13.07,7.12,5.95,47
3723,14.77,5.73,9.05,56
3736,13.90,5.36,8.54,49
3750,14.51,6.53,7.98,49
3763,13.68,5.53,8.15,47
3776,13.95,5.58,8.37,49
3789,12.92,4.09,8.83,49
3803,12.60,3.68,8.92,48
3816,11.02,3.23,7.78,54
3829,11.38,3.68,7.70,52
3843,10.99,1.70,9.30,51
3856,10.80,1.67,9.13,49
3869,11.82,2.65,9.17,50
3882,11.90,2.75,9.15,48
3896,10.80,2.38,8.41,48
3909,11.67,1.92,9.75,48
3922,11.51,1.87,9.64,51
3936,10.45,2.62,7.83,50
3949,10.60,0.55,10.05,49
3962,9.55,3.38,6.17,50
3976,11.06,4.29,6.77,48
3989,10.75,4.19,6.56,47
4002,9.70,4.07,5.62,48
4015,11.45,3.23,8.22,58
4029,10.31,3.70,6.61,50
4042,8.75,4.36,4.39,47
4055,8.60,2.70,5.90,46
4069,6.35,0.89,5.46,47
4082,5.70,1.04,4.66,47
4095,5.09,1.65,3.44,48
4108,3.16,1.19,1.97,48
4122,1.47,0.67,0.80,55
4135,-0.53,-0.59,0.06,50
4148,-0.99,0.58,-1.57,49
4162,-1.38,0.26,-1.64,50
4175,-0.88,0.73,-1.60,51
4188,-0.92,-0.20,-0.72,52
4201,-0.88,-0.01,-0.87,49
4215,1.08,1.67,-0.59,53
4228,3.23,0.38,2.84,54
4241,3.05,0.65,2.41,49
4255,1.96,1.65,0.31,48
4268,1.94,0.26,1.68,49
4281,0.03,0.21,-0.18,47
4295,0.27,0.91,-0.64,48
4308,1.66,-0.23,1.89,50
4321,3.42,-0.40,3.82,53
4334,2.57,0.09,2.48,52
4348,2.72,0.04,2.68,51
4361,1.52,-0.72,2.23,50
4374,1.57,-0.50,2.07,48
4388,0.88,-0.52,1.41,48
4401,0.55,0.28,0.27,51
4414,-0.19,-2.09,1.90,52
4427,-2.07,-1.33,-0.74,51
4441,-2.19,-1.55,-0.64,49
4454,-1.61,-1.57,-0.04,50
4467,-1.07,0.45,-1.52,50
4481,-0.34,0.41,-0.74,50
4494,0.47,0.87,-0.40,49
4507,-0.77,1.16,-1.94,50
4521,-1.34,1.84,-3.18,55
4534,-0.51,1.77,-2.28,50
